Name,Name + ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,Position
Hunter Renfrow,Hunter Renfrow (40058656),WR/FLEX,3700,ATL@CAR 09/21/2025 01:00PM ET,CAR,13.45,WR
Dontayvion Wicks,Dontayvion Wicks (40058658),WR/FLEX,3700,GB@CLE 09/21/2025 01:00PM ET,GB,6.7,WR
Packers ,Packers  (40059306),DST,3700,GB@CLE 09/21/2025 01:00PM ET,GB,7.5,DST
Dallas Goedert,Dallas Goedert (40059042),TE/FLEX,3700,LAR@PHI 09/21/2025 01:00PM ET,PHI,11.4,TE
Elic Ayomanor,Elic Ayomanor (40058660),WR/FLEX,3700,IND@TEN 09/21/2025 01:00PM ET,TEN,9.45,WR
Evan Engram,Evan Engram (40059044),TE/FLEX,3700,DEN@LAC 09/21/2025 04:05PM ET,DEN,3.65,TE
Xavier Legette,Xavier Legette (40058664),WR/FLEX,3600,ATL@CAR 09/21/2025 01:00PM ET,CAR,2.4,WR
Harold Fannin Jr.,Harold Fannin Jr. (40059048),TE/FLEX,3600,GB@CLE 09/21/2025 01:00PM ET,CLE,11.7,TE
Jonnu Smith,Jonnu Smith (40059046),TE/FLEX,3600,PIT@NE 09/21/2025 01:00PM ET,PIT,9.6,TE
Sterling Shepard,Sterling Shepard (40058666),WR/FLEX,3600,NYJ@TB 09/21/2025 01:00PM ET,TB,7.15,WR
Tyler Lockett,Tyler Lockett (40058662),WR/FLEX,3600,IND@TEN 09/21/2025 01:00PM ET,TEN,1.45,WR
Seahawks ,Seahawks  (40059307),DST,3600,NO@SEA 09/21/2025 04:05PM ET,SEA,11,DST
Parker Washington,Parker Washington (40058668),WR/FLEX,3500,HOU@JAX 09/21/2025 01:00PM ET,JAX,6.3,WR
Xavier Hutchinson,Xavier Hutchinson (40058674),WR/FLEX,3500,HOU@JAX 09/21/2025 01:00PM ET,HOU,5.2,WR
Brenton Strange,Brenton Strange (40059052),TE/FLEX,3500,HOU@JAX 09/21/2025 01:00PM ET,JAX,7.3,TE
Josh Reynolds,Josh Reynolds (40058672),WR/FLEX,3500,NYJ@TB 09/21/2025 01:00PM ET,NYJ,3.8,WR
Cade Otton,Cade Otton (40059050),TE/FLEX,3500,NYJ@TB 09/21/2025 01:00PM ET,TB,2.75,TE
Buccaneers ,Buccaneers  (40059308),DST,3500,NYJ@TB 09/21/2025 01:00PM ET,TB,3,DST
Kendrick Bourne,Kendrick Bourne (40058670),WR/FLEX,3500,ARI@SF 09/21/2025 04:25PM ET,SF,6.2,WR
Dalton Schultz,Dalton Schultz (40059056),TE/FLEX,3400,HOU@JAX 09/21/2025 01:00PM ET,HOU,5.85,TE
Vikings ,Vikings  (40059309),DST,3400,CIN@MIN 09/21/2025 01:00PM ET,MIN,5,DST
Tez Johnson,Tez Johnson (40058678),WR/FLEX,3400,NYJ@TB 09/21/2025 01:00PM ET,TB,0,WR
Chig Okonkwo,Chig Okonkwo (40059054),TE/FLEX,3400,IND@TEN 09/21/2025 01:00PM ET,TEN,6.2,TE
Tre Tucker,Tre Tucker (40058680),WR/FLEX,3400,LV@WAS 09/21/2025 01:00PM ET,LV,9.15,WR
Tory Horton,Tory Horton (40058682),WR/FLEX,3400,NO@SEA 09/21/2025 04:05PM ET,SEA,5.6,WR
Olamide Zaccheaus,Olamide Zaccheaus (40058684),WR/FLEX,3400,DAL@CHI 09/21/2025 04:25PM ET,CHI,6.15,WR
Michael Wilson,Michael Wilson (40058676),WR/FLEX,3400,ARI@SF 09/21/2025 04:25PM ET,ARI,4.8,WR
Ja'Tavion Sanders,Ja'Tavion Sanders (40059058),TE/FLEX,3300,ATL@CAR 09/21/2025 01:00PM ET,CAR,8.55,TE
Savion Williams,Savion Williams (40058688),WR/FLEX,3300,GB@CLE 09/21/2025 01:00PM ET,GB,1.75,WR
Andrei Iosivas,Andrei Iosivas (40058694),WR/FLEX,3300,CIN@MIN 09/21/2025 01:00PM ET,CIN,1.1,WR
Kyle Williams,Kyle Williams (40058686),WR/FLEX,3300,PIT@NE 09/21/2025 01:00PM ET,NE,1.1,WR
Jahan Dotson,Jahan Dotson (40058696),WR/FLEX,3300,LAR@PHI 09/21/2025 01:00PM ET,PHI,5.15,WR
Allen Lazard,Allen Lazard (40058690),WR/FLEX,3300,NYJ@TB 09/21/2025 01:00PM ET,NYJ,0,WR
Colts ,Colts  (40059310),DST,3300,IND@TEN 09/21/2025 01:00PM ET,IND,7,DST
Marquez Valdes-Scantling,Marquez Valdes-Scantling (40058692),WR/FLEX,3300,ARI@SF 09/21/2025 04:25PM ET,SF,0,WR
Luke Farrell,Luke Farrell (40059060),TE/FLEX,3300,ARI@SF 09/21/2025 04:25PM ET,SF,5.45,TE
Falcons ,Falcons  (40059311),DST,3200,ATL@CAR 09/21/2025 01:00PM ET,ATL,11,DST
Jaylin Noel,Jaylin Noel (40058704),WR/FLEX,3200,HOU@JAX 09/21/2025 01:00PM ET,HOU,0.85,WR
Mike Gesicki,Mike Gesicki (40059064),TE/FLEX,3200,CIN@MIN 09/21/2025 01:00PM ET,CIN,3.6,TE
Ben Skowronek,Ben Skowronek (40058702),WR/FLEX,3200,PIT@NE 09/21/2025 01:00PM ET,PIT,4.6,WR
Tutu Atwell,Tutu Atwell (40058708),WR/FLEX,3200,LAR@PHI 09/21/2025 01:00PM ET,LAR,0.7,WR
Adonai Mitchell,Adonai Mitchell (40058698),WR/FLEX,3200,IND@TEN 09/21/2025 01:00PM ET,IND,4.05,WR
Jaylin Lane,Jaylin Lane (40058700),WR/FLEX,3200,LV@WAS 09/21/2025 01:00PM ET,WAS,1.65,WR
Devaughn Vele,Devaughn Vele (40058706),WR/FLEX,3200,NO@SEA 09/21/2025 04:05PM ET,NO,4.8,WR
Jalen Tolbert,Jalen Tolbert (40058710),WR/FLEX,3200,DAL@CHI 09/21/2025 04:25PM ET,DAL,2.3,WR
Colston Loveland,Colston Loveland (40059062),TE/FLEX,3200,DAL@CHI 09/21/2025 04:25PM ET,CHI,1.6,TE
Casey Washington,Casey Washington (40058722),WR/FLEX,3100,ATL@CAR 09/21/2025 01:00PM ET,ATL,6.3,WR
Isaiah Bond,Isaiah Bond (40058712),WR/FLEX,3100,GB@CLE 09/21/2025 01:00PM ET,CLE,2,WR
Malik Heath,Malik Heath (40058716),WR/FLEX,3100,GB@CLE 09/21/2025 01:00PM ET,GB,2.35,WR
Mitchell Tinsley,Mitchell Tinsley (40058724),WR/FLEX,3100,CIN@MIN 09/21/2025 01:00PM ET,CIN,4.15,WR
Noah Fant,Noah Fant (40059068),TE/FLEX,3100,CIN@MIN 09/21/2025 01:00PM ET,CIN,9.2,TE
Mack Hollins,Mack Hollins (40058726),WR/FLEX,3100,PIT@NE 09/21/2025 01:00PM ET,NE,4.55,WR
Pat Freiermuth,Pat Freiermuth (40059066),TE/FLEX,3100,PIT@NE 09/21/2025 01:00PM ET,PIT,5.95,TE
Eagles ,Eagles  (40059312),DST,3100,LAR@PHI 09/21/2025 01:00PM ET,PHI,4,DST
Luke McCaffrey,Luke McCaffrey (40058718),WR/FLEX,3100,LV@WAS 09/21/2025 01:00PM ET,WAS,2.45,WR
Pat Bryant,Pat Bryant (40058720),WR/FLEX,3100,DEN@LAC 09/21/2025 04:05PM ET,DEN,1.9,WR
Greg Dortch,Greg Dortch (40058714),WR/FLEX,3100,ARI@SF 09/21/2025 04:25PM ET,ARI,1.45,WR
49ers ,49ers  (40059313),DST,3100,ARI@SF 09/21/2025 04:25PM ET,SF,7,DST
KhaDarel Hodge,KhaDarel Hodge (40058738),WR/FLEX,3000,ATL@CAR 09/21/2025 01:00PM ET,ATL,0,WR
Brycen Tremayne,Brycen Tremayne (40058994),WR/FLEX,3000,ATL@CAR 09/21/2025 01:00PM ET,CAR,3.9,WR
David Moore,David Moore (40058996),WR/FLEX,3000,ATL@CAR 09/21/2025 01:00PM ET,CAR,0,WR
Jimmy Horn Jr.,Jimmy Horn Jr. (40058998),WR/FLEX,3000,ATL@CAR 09/21/2025 01:00PM ET,CAR,0,WR
Dalevon Campbell,Dalevon Campbell (40059000),WR/FLEX,3000,ATL@CAR 09/21/2025 01:00PM ET,CAR,0,WR
Jalen Coker,Jalen Coker (40059002),WR/FLEX,3000,ATL@CAR 09/21/2025 01:00PM ET,CAR,0,WR
Ainias Smith,Ainias Smith (40059004),WR/FLEX,3000,ATL@CAR 09/21/2025 01:00PM ET,CAR,0,WR
Ja'seem Reed,Ja'seem Reed (40059006),WR/FLEX,3000,ATL@CAR 09/21/2025 01:00PM ET,CAR,0,WR
Jamal Agnew,Jamal Agnew (40059008),WR/FLEX,3000,ATL@CAR 09/21/2025 01:00PM ET,ATL,0,WR
David Sills V,David Sills V (40059010),WR/FLEX,3000,ATL@CAR 09/21/2025 01:00PM ET,ATL,0,WR
