Name,Name + ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,Position
Treylon Burks,Treylon Burks (40058866),WR/FLEX,3000,IND@TEN 09/21/2025 01:00PM ET,TEN,0,WR
Mason Kinsey,Mason Kinsey (40058868),WR/FLEX,3000,IND@TEN 09/21/2025 01:00PM ET,TEN,0,WR
James Proche II,James Proche II (40058870),WR/FLEX,3000,IND@TEN 09/21/2025 01:00PM ET,TEN,0,WR
Xavier Restrepo,Xavier Restrepo (40058872),WR/FLEX,3000,IND@TEN 09/21/2025 01:00PM ET,TEN,0,WR
Noah Brown,Noah Brown (40058740),WR/FLEX,3000,LV@WAS 09/21/2025 01:00PM ET,WAS,3.3,WR
Jacoby Jones,Jacoby Jones (40058838),WR/FLEX,3000,LV@WAS 09/21/2025 01:00PM ET,WAS,0,WR
Ja'Corey Brooks,Ja'Corey Brooks (40058840),WR/FLEX,3000,LV@WAS 09/21/2025 01:00PM ET,WAS,0,WR
Chris Moore,Chris Moore (40058842),WR/FLEX,3000,LV@WAS 09/21/2025 01:00PM ET,WAS,4.4,WR
Phillip Dorsett II,Phillip Dorsett II (40058844),WR/FLEX,3000,LV@WAS 09/21/2025 01:00PM ET,LV,0,WR
Shedrick Jackson,Shedrick Jackson (40058846),WR/FLEX,3000,LV@WAS 09/21/2025 01:00PM ET,LV,0,WR
Alex Bachman,Alex Bachman (40058848),WR/FLEX,3000,LV@WAS 09/21/2025 01:00PM ET,LV,0,WR
Justin Shorter,Justin Shorter (40059018),WR/FLEX,3000,LV@WAS 09/21/2025 01:00PM ET,LV,0,WR
Michael Mayer,Michael Mayer (40059072),TE/FLEX,3000,LV@WAS 09/21/2025 01:00PM ET,LV,5.35,TE
Commanders ,Commanders  (40059314),DST,3000,LV@WAS 09/21/2025 01:00PM ET,WAS,5.5,DST
Tre' Harris,Tre' Harris (40058820),WR/FLEX,3000,DEN@LAC 09/21/2025 04:05PM ET,LAC,3.75,WR
KeAndre Lambert-Smith,KeAndre Lambert-Smith (40058822),WR/FLEX,3000,DEN@LAC 09/21/2025 04:05PM ET,LAC,0,WR
Derius Davis,Derius Davis (40058824),WR/FLEX,3000,DEN@LAC 09/21/2025 04:05PM ET,LAC,0.15,WR
Luke Grimm,Luke Grimm (40058826),WR/FLEX,3000,DEN@LAC 09/21/2025 04:05PM ET,LAC,0,WR
JaQuae Jackson,JaQuae Jackson (40058828),WR/FLEX,3000,DEN@LAC 09/21/2025 04:05PM ET,LAC,0,WR
Trent Sherfield Sr.,Trent Sherfield Sr. (40058830),WR/FLEX,3000,DEN@LAC 09/21/2025 04:05PM ET,DEN,1.3,WR
Thayer Thomas,Thayer Thomas (40058832),WR/FLEX,3000,DEN@LAC 09/21/2025 04:05PM ET,DEN,0,WR
Michael Bandy,Michael Bandy (40058834),WR/FLEX,3000,DEN@LAC 09/21/2025 04:05PM ET,DEN,0,WR
A.T. Perry,A.T. Perry (40058836),WR/FLEX,3000,DEN@LAC 09/21/2025 04:05PM ET,DEN,0,WR
Broncos ,Broncos  (40059315),DST,3000,DEN@LAC 09/21/2025 04:05PM ET,DEN,7,DST
Jake Bobo,Jake Bobo (40058794),WR/FLEX,3000,NO@SEA 09/21/2025 04:05PM ET,SEA,0,WR
Dareke Young,Dareke Young (40058796),WR/FLEX,3000,NO@SEA 09/21/2025 04:05PM ET,SEA,0,WR
Courtney Jackson,Courtney Jackson (40058798),WR/FLEX,3000,NO@SEA 09/21/2025 04:05PM ET,SEA,0,WR
Cody White,Cody White (40058800),WR/FLEX,3000,NO@SEA 09/21/2025 04:05PM ET,SEA,0,WR
Ricky White III,Ricky White III (40058802),WR/FLEX,3000,NO@SEA 09/21/2025 04:05PM ET,SEA,0,WR
Tyrone Broden,Tyrone Broden (40058804),WR/FLEX,3000,NO@SEA 09/21/2025 04:05PM ET,SEA,0,WR
Mason Tipton,Mason Tipton (40058806),WR/FLEX,3000,NO@SEA 09/21/2025 04:05PM ET,NO,0,WR
Trey Palmer,Trey Palmer (40058808),WR/FLEX,3000,NO@SEA 09/21/2025 04:05PM ET,NO,0,WR
Ja'Lynn Polk,Ja'Lynn Polk (40058810),WR/FLEX,3000,NO@SEA 09/21/2025 04:05PM ET,NO,0,WR
Bub Means,Bub Means (40058812),WR/FLEX,3000,NO@SEA 09/21/2025 04:05PM ET,NO,0,WR
Kevin Austin Jr.,Kevin Austin Jr. (40058814),WR/FLEX,3000,NO@SEA 09/21/2025 04:05PM ET,NO,0,WR
Tommy Mellott,Tommy Mellott (40058816),WR/FLEX,3000,NO@SEA 09/21/2025 04:05PM ET,NO,0,WR
Cedrick Wilson Jr.,Cedrick Wilson Jr. (40058818),WR/FLEX,3000,NO@SEA 09/21/2025 04:05PM ET,NO,0,WR
AJ Barner,AJ Barner (40059070),TE/FLEX,3000,NO@SEA 09/21/2025 04:05PM ET,SEA,6,TE
Ryan Flournoy,Ryan Flournoy (40058774),WR/FLEX,3000,DAL@CHI 09/21/2025 04:25PM ET,DAL,0,WR
Jonathan Mingo,Jonathan Mingo (40058776),WR/FLEX,3000,DAL@CHI 09/21/2025 04:25PM ET,DAL,0,WR
Jalen Brooks,Jalen Brooks (40058778),WR/FLEX,3000,DAL@CHI 09/21/2025 04:25PM ET,DAL,0,WR
Traeshon Holden,Traeshon Holden (40058780),WR/FLEX,3000,DAL@CHI 09/21/2025 04:25PM ET,DAL,0,WR
Jalen Cropper,Jalen Cropper (40058782),WR/FLEX,3000,DAL@CHI 09/21/2025 04:25PM ET,DAL,0,WR
Devin Duvernay,Devin Duvernay (40058784),WR/FLEX,3000,DAL@CHI 09/21/2025 04:25PM ET,CHI,0,WR
Jahdae Walker,Jahdae Walker (40058786),WR/FLEX,3000,DAL@CHI 09/21/2025 04:25PM ET,CHI,0,WR
JP Richardson,JP Richardson (40058788),WR/FLEX,3000,DAL@CHI 09/21/2025 04:25PM ET,CHI,0,WR
Maurice Alexander,Maurice Alexander (40058790),WR/FLEX,3000,DAL@CHI 09/21/2025 04:25PM ET,CHI,0,WR
Miles Boykin,Miles Boykin (40058792),WR/FLEX,3000,DAL@CHI 09/21/2025 04:25PM ET,CHI,0,WR
Cole Kmet,Cole Kmet (40059074),TE/FLEX,3000,DAL@CHI 09/21/2025 04:25PM ET,CHI,4.5,TE
Jordan Watkins,Jordan Watkins (40058744),WR/FLEX,3000,ARI@SF 09/21/2025 04:25PM ET,SF,0,WR
Skyy Moore,Skyy Moore (40058746),WR/FLEX,3000,ARI@SF 09/21/2025 04:25PM ET,SF,0,WR
Demarcus Robinson,Demarcus Robinson (40058748),WR/FLEX,3000,ARI@SF 09/21/2025 04:25PM ET,SF,0,WR
Brandon Aiyuk,Brandon Aiyuk (40058750),WR/FLEX,3000,ARI@SF 09/21/2025 04:25PM ET,SF,0,WR
Jacob Cowing,Jacob Cowing (40058752),WR/FLEX,3000,ARI@SF 09/21/2025 04:25PM ET,SF,0,WR
Malik Turner,Malik Turner (40058754),WR/FLEX,3000,ARI@SF 09/21/2025 04:25PM ET,SF,0,WR
Russell Gage Jr.,Russell Gage Jr. (40058756),WR/FLEX,3000,ARI@SF 09/21/2025 04:25PM ET,SF,0,WR
Trent Taylor,Trent Taylor (40058758),WR/FLEX,3000,ARI@SF 09/21/2025 04:25PM ET,SF,0,WR
Junior Bergen,Junior Bergen (40058760),WR/FLEX,3000,ARI@SF 09/21/2025 04:25PM ET,SF,0,WR
Zay Jones,Zay Jones (40058762),WR/FLEX,3000,ARI@SF 09/21/2025 04:25PM ET,ARI,0.7,WR
Xavier Weaver,Xavier Weaver (40058764),WR/FLEX,3000,ARI@SF 09/21/2025 04:25PM ET,ARI,0,WR
Simi Fehoko,Simi Fehoko (40058766),WR/FLEX,3000,ARI@SF 09/21/2025 04:25PM ET,ARI,0,WR
Trishton Jackson,Trishton Jackson (40058768),WR/FLEX,3000,ARI@SF 09/21/2025 04:25PM ET,ARI,0,WR
Andre Baccellia,Andre Baccellia (40058770),WR/FLEX,3000,ARI@SF 09/21/2025 04:25PM ET,ARI,0,WR
Tejhaun Palmer,Tejhaun Palmer (40058772),WR/FLEX,3000,ARI@SF 09/21/2025 04:25PM ET,ARI,0,WR
Tyler Higbee,Tyler Higbee (40059078),TE/FLEX,2900,LAR@PHI 09/21/2025 01:00PM ET,LAR,3.85,TE
Will Dissly,Will Dissly (40059080),TE/FLEX,2900,DEN@LAC 09/21/2025 04:05PM ET,LAC,2.25,TE
Chargers ,Chargers  (40059316),DST,2900,DEN@LAC 09/21/2025 04:05PM ET,LAC,7.5,DST
Jake Tonges,Jake Tonges (40059076),TE/FLEX,2900,ARI@SF 09/21/2025 04:25PM ET,SF,8.8,TE
Cardinals ,Cardinals  (40059317),DST,2900,ARI@SF 09/21/2025 04:25PM ET,ARI,9,DST
Jaguars ,Jaguars  (40059318),DST,2800,HOU@JAX 09/21/2025 01:00PM ET,JAX,9.5,DST
Austin Hooper,Austin Hooper (40059084),TE/FLEX,2800,PIT@NE 09/21/2025 01:00PM ET,NE,4.4,TE
Steelers ,Steelers  (40059319),DST,2800,PIT@NE 09/21/2025 01:00PM ET,PIT,3.5,DST
Payne Durham,Payne Durham (40059086),TE/FLEX,2800,NYJ@TB 09/21/2025 01:00PM ET,TB,0,TE
Tyler Conklin,Tyler Conklin (40059082),TE/FLEX,2800,DEN@LAC 09/21/2025 04:05PM ET,LAC,3.6,TE
Luke Musgrave,Luke Musgrave (40059090),TE/FLEX,2700,GB@CLE 09/21/2025 01:00PM ET,GB,3.3,TE
Texans ,Texans  (40059321),DST,2700,HOU@JAX 09/21/2025 01:00PM ET,HOU,6.5,DST
Grant Calcaterra,Grant Calcaterra (40059088),TE/FLEX,2700,LAR@PHI 09/21/2025 01:00PM ET,PHI,0.8,TE
Adam Trautman,Adam Trautman (40059092),TE/FLEX,2700,DEN@LAC 09/21/2025 04:05PM ET,DEN,5.75,TE
Cowboys ,Cowboys  (40059320),DST,2700,DAL@CHI 09/21/2025 04:25PM ET,DAL,1,DST
Patriots ,Patriots  (40059323),DST,2600,PIT@NE 09/21/2025 01:00PM ET,NE,10,DST
Davis Allen,Davis Allen (40059096),TE/FLEX,2600,LAR@PHI 09/21/2025 01:00PM ET,LAR,8.05,TE
Mason Taylor,Mason Taylor (40059098),TE/FLEX,2600,NYJ@TB 09/21/2025 01:00PM ET,NYJ,2.25,TE
Gunnar Helm,Gunnar Helm (40059094),TE/FLEX,2600,IND@TEN 09/21/2025 01:00PM ET,TEN,2.75,TE
Bears ,Bears  (40059322),DST,2600,DAL@CHI 09/21/2025 04:25PM ET,CHI,3.5,DST
Brenden Bates,Brenden Bates (40059284),TE/FLEX,2500,HOU@JAX 09/21/2025 01:00PM ET,HOU,0,TE
Tommy Tremble,Tommy Tremble (40059288),TE/FLEX,2500,ATL@CAR 09/21/2025 01:00PM ET,CAR,3.1,TE
Mitchell Evans,Mitchell Evans (40059290),TE/FLEX,2500,ATL@CAR 09/21/2025 01:00PM ET,CAR,0.95,TE
James Mitchell,James Mitchell (40059292),TE/FLEX,2500,ATL@CAR 09/21/2025 01:00PM ET,CAR,0,TE
Bryce Pierre,Bryce Pierre (40059294),TE/FLEX,2500,ATL@CAR 09/21/2025 01:00PM ET,CAR,0,TE
Charlie Woerner,Charlie Woerner (40059296),TE/FLEX,2500,ATL@CAR 09/21/2025 01:00PM ET,ATL,0,TE
Teagan Quitoriano,Teagan Quitoriano (40059298),TE/FLEX,2500,ATL@CAR 09/21/2025 01:00PM ET,ATL,0,TE
Feleipe Franks,Feleipe Franks (40059300),TE/FLEX,2500,ATL@CAR 09/21/2025 01:00PM ET,ATL,0,TE
Joshua Simon,Joshua Simon (40059302),TE/FLEX,2500,ATL@CAR 09/21/2025 01:00PM ET,ATL,0,TE
Panthers ,Panthers  (40059325),DST,2500,ATL@CAR 09/21/2025 01:00PM ET,CAR,2.5,DST
John FitzPatrick,John FitzPatrick (40059276),TE/FLEX,2500,GB@CLE 09/21/2025 01:00PM ET,GB,0.6,TE
Ben Sims,Ben Sims (40059278),TE/FLEX,2500,GB@CLE 09/21/2025 01:00PM ET,GB,0,TE
Josh Whyle,Josh Whyle (40059280),TE/FLEX,2500,GB@CLE 09/21/2025 01:00PM ET,GB,0,TE
Blake Whiteheart,Blake Whiteheart (40059282),TE/FLEX,2500,GB@CLE 09/21/2025 01:00PM ET,CLE,0,TE
Sal Cannella,Sal Cannella (40059286),TE/FLEX,2500,GB@CLE 09/21/2025 01:00PM ET,CLE,0,TE
Cade Stover,Cade Stover (40059102),TE/FLEX,2500,HOU@JAX 09/21/2025 01:00PM ET,HOU,6.2,TE
Johnny Mundt,Johnny Mundt (40059260),TE/FLEX,2500,HOU@JAX 09/21/2025 01:00PM ET,JAX,0,TE
Quintin Morris,Quintin Morris (40059262),TE/FLEX,2500,HOU@JAX 09/21/2025 01:00PM ET,JAX,0,TE
Patrick Herbert,Patrick Herbert (40059264),TE/FLEX,2500,HOU@JAX 09/21/2025 01:00PM ET,JAX,0,TE
Harrison Bryant,Harrison Bryant (40059266),TE/FLEX,2500,HOU@JAX 09/21/2025 01:00PM ET,HOU,0,TE
Brevin Jordan,Brevin Jordan (40059268),TE/FLEX,2500,HOU@JAX 09/21/2025 01:00PM ET,HOU,0,TE
Irv Smith Jr.,Irv Smith Jr. (40059270),TE/FLEX,2500,HOU@JAX 09/21/2025 01:00PM ET,HOU,0,TE
Luke Lachey,Luke Lachey (40059272),TE/FLEX,2500,HOU@JAX 09/21/2025 01:00PM ET,HOU,0,TE
Jakob Johnson,Jakob Johnson (40059274),TE/FLEX,2500,HOU@JAX 09/21/2025 01:00PM ET,HOU,0,TE
Hunter Long,Hunter Long (40059304),TE/FLEX,2500,HOU@JAX 09/21/2025 01:00PM ET,JAX,3.8,TE
Josh Oliver,Josh Oliver (40059238),TE/FLEX,2500,CIN@MIN 09/21/2025 01:00PM ET,MIN,0.75,TE
Ben Yurosek,Ben Yurosek (40059240),TE/FLEX,2500,CIN@MIN 09/21/2025 01:00PM ET,MIN,0,TE
Nick Vannett,Nick Vannett (40059242),TE/FLEX,2500,CIN@MIN 09/21/2025 01:00PM ET,MIN,0,TE
Gavin Bartholomew,Gavin Bartholomew (40059244),TE/FLEX,2500,CIN@MIN 09/21/2025 01:00PM ET,MIN,0,TE
Bryson Nesbit,Bryson Nesbit (40059246),TE/FLEX,2500,CIN@MIN 09/21/2025 01:00PM ET,MIN,0,TE
Andrew DePaola,Andrew DePaola (40059248),TE/FLEX,2500,CIN@MIN 09/21/2025 01:00PM ET,MIN,0,TE
Drew Sample,Drew Sample (40059250),TE/FLEX,2500,CIN@MIN 09/21/2025 01:00PM ET,CIN,0.85,TE
Tanner Hudson,Tanner Hudson (40059252),TE/FLEX,2500,CIN@MIN 09/21/2025 01:00PM ET,CIN,0,TE
Cam Grandy,Cam Grandy (40059254),TE/FLEX,2500,CIN@MIN 09/21/2025 01:00PM ET,CIN,0,TE
Erick All Jr.,Erick All Jr. (40059256),TE/FLEX,2500,CIN@MIN 09/21/2025 01:00PM ET,CIN,0,TE
William Wagner,William Wagner (40059258),TE/FLEX,2500,CIN@MIN 09/21/2025 01:00PM ET,CIN,0,TE
Darnell Washington,Darnell Washington (40059228),TE/FLEX,2500,PIT@NE 09/21/2025 01:00PM ET,PIT,1,TE
Donald Parham Jr.,Donald Parham Jr. (40059230),TE/FLEX,2500,PIT@NE 09/21/2025 01:00PM ET,PIT,0,TE
Connor Heyward,Connor Heyward (40059232),TE/FLEX,2500,PIT@NE 09/21/2025 01:00PM ET,PIT,0.8,TE
JJ Galbreath,JJ Galbreath (40059234),TE/FLEX,2500,PIT@NE 09/21/2025 01:00PM ET,PIT,0,TE
CJ Dippre,CJ Dippre (40059236),TE/FLEX,2500,PIT@NE 09/21/2025 01:00PM ET,NE,0,TE
Terrance Ferguson,Terrance Ferguson (40059104),TE/FLEX,2500,LAR@PHI 09/21/2025 01:00PM ET,LAR,0,TE
Kylen Granson,Kylen Granson (40059218),TE/FLEX,2500,LAR@PHI 09/21/2025 01:00PM ET,PHI,1.3,TE
Cameron Latu,Cameron Latu (40059220),TE/FLEX,2500,LAR@PHI 09/21/2025 01:00PM ET,PHI,0,TE
E.J. Jenkins,E.J. Jenkins (40059222),TE/FLEX,2500,LAR@PHI 09/21/2025 01:00PM ET,PHI,0,TE
Colby Parkinson,Colby Parkinson (40059224),TE/FLEX,2500,LAR@PHI 09/21/2025 01:00PM ET,LAR,0.4,TE
Mark Redman,Mark Redman (40059226),TE/FLEX,2500,LAR@PHI 09/21/2025 01:00PM ET,LAR,0,TE
Ko Kieft,Ko Kieft (40059204),TE/FLEX,2500,NYJ@TB 09/21/2025 01:00PM ET,TB,0,TE
Devin Culp,Devin Culp (40059206),TE/FLEX,2500,NYJ@TB 09/21/2025 01:00PM ET,TB,0,TE
Tanner Taula,Tanner Taula (40059208),TE/FLEX,2500,NYJ@TB 09/21/2025 01:00PM ET,TB,0,TE
Evan Deckers,Evan Deckers (40059210),TE/FLEX,2500,NYJ@TB 09/21/2025 01:00PM ET,TB,0,TE
Jeremy Ruckert,Jeremy Ruckert (40059212),TE/FLEX,2500,NYJ@TB 09/21/2025 01:00PM ET,NYJ,5.55,TE
Stone Smartt,Stone Smartt (40059214),TE/FLEX,2500,NYJ@TB 09/21/2025 01:00PM ET,NYJ,0,TE
Jelani Woods,Jelani Woods (40059216),TE/FLEX,2500,NYJ@TB 09/21/2025 01:00PM ET,NYJ,0,TE
Mo Alie-Cox,Mo Alie-Cox (40059188),TE/FLEX,2500,IND@TEN 09/21/2025 01:00PM ET,IND,2.4,TE
Drew Ogletree,Drew Ogletree (40059190),TE/FLEX,2500,IND@TEN 09/21/2025 01:00PM ET,IND,0,TE
Will Mallory,Will Mallory (40059192),TE/FLEX,2500,IND@TEN 09/21/2025 01:00PM ET,IND,0,TE
Maximilian Mang,Maximilian Mang (40059194),TE/FLEX,2500,IND@TEN 09/21/2025 01:00PM ET,IND,0,TE
Sean McKeon,Sean McKeon (40059196),TE/FLEX,2500,IND@TEN 09/21/2025 01:00PM ET,IND,0,TE
David Martin-Robinson,David Martin-Robinson (40059198),TE/FLEX,2500,IND@TEN 09/21/2025 01:00PM ET,TEN,0,TE
Drake Dabney,Drake Dabney (40059200),TE/FLEX,2500,IND@TEN 09/21/2025 01:00PM ET,TEN,0,TE
Thomas Odukoya,Thomas Odukoya (40059202),TE/FLEX,2500,IND@TEN 09/21/2025 01:00PM ET,TEN,0,TE
Titans ,Titans  (40059324),DST,2500,IND@TEN 09/21/2025 01:00PM ET,TEN,7,DST
John Bates,John Bates (40059170),TE/FLEX,2500,LV@WAS 09/21/2025 01:00PM ET,WAS,0,TE
Ben Sinnott,Ben Sinnott (40059172),TE/FLEX,2500,LV@WAS 09/21/2025 01:00PM ET,WAS,0.85,TE
Colson Yankoff,Colson Yankoff (40059174),TE/FLEX,2500,LV@WAS 09/21/2025 01:00PM ET,WAS,0,TE
Tyree Jackson,Tyree Jackson (40059176),TE/FLEX,2500,LV@WAS 09/21/2025 01:00PM ET,WAS,0,TE
Tyler Ott,Tyler Ott (40059178),TE/FLEX,2500,LV@WAS 09/21/2025 01:00PM ET,WAS,0,TE
Lawrence Cager,Lawrence Cager (40059180),TE/FLEX,2500,LV@WAS 09/21/2025 01:00PM ET,WAS,0,TE
Ian Thomas,Ian Thomas (40059182),TE/FLEX,2500,LV@WAS 09/21/2025 01:00PM ET,LV,0,TE
Carter Runyon,Carter Runyon (40059184),TE/FLEX,2500,LV@WAS 09/21/2025 01:00PM ET,LV,0,TE
Albert Okwuegbunam Jr.,Albert Okwuegbunam Jr. (40059186),TE/FLEX,2500,LV@WAS 09/21/2025 01:00PM ET,LV,0,TE
Oronde Gadsden II,Oronde Gadsden II (40059154),TE/FLEX,2500,DEN@LAC 09/21/2025 04:05PM ET,LAC,0,TE
Tucker Fisk,Tucker Fisk (40059156),TE/FLEX,2500,DEN@LAC 09/21/2025 04:05PM ET,LAC,0,TE
Thomas Yassmin,Thomas Yassmin (40059158),TE/FLEX,2500,DEN@LAC 09/21/2025 04:05PM ET,LAC,0,TE
Nate Adkins,Nate Adkins (40059160),TE/FLEX,2500,DEN@LAC 09/21/2025 04:05PM ET,DEN,0,TE
Lucas Krull,Lucas Krull (40059162),TE/FLEX,2500,DEN@LAC 09/21/2025 04:05PM ET,DEN,0.8,TE
Mitchell Fraboni,Mitchell Fraboni (40059164),TE/FLEX,2500,DEN@LAC 09/21/2025 04:05PM ET,DEN,0,TE
Patrick Murtagh,Patrick Murtagh (40059166),TE/FLEX,2500,DEN@LAC 09/21/2025 04:05PM ET,DEN,0,TE
Caleb Lohner,Caleb Lohner (40059168),TE/FLEX,2500,DEN@LAC 09/21/2025 04:05PM ET,DEN,0,TE
Elijah Arroyo,Elijah Arroyo (40059100),TE/FLEX,2500,NO@SEA 09/21/2025 04:05PM ET,SEA,3.4,TE
Eric Saubert,Eric Saubert (40059136),TE/FLEX,2500,NO@SEA 09/21/2025 04:05PM ET,SEA,0,TE
Nick Kallerup,Nick Kallerup (40059138),TE/FLEX,2500,NO@SEA 09/21/2025 04:05PM ET,SEA,0,TE
Jack Stoll,Jack Stoll (40059140),TE/FLEX,2500,NO@SEA 09/21/2025 04:05PM ET,NO,0,TE
Moliki Matavao,Moliki Matavao (40059142),TE/FLEX,2500,NO@SEA 09/21/2025 04:05PM ET,NO,0,TE
Taysom Hill,Taysom Hill (40059144),TE/FLEX,2500,NO@SEA 09/21/2025 04:05PM ET,NO,0,TE
Foster Moreau,Foster Moreau (40059146),TE/FLEX,2500,NO@SEA 09/21/2025 04:05PM ET,NO,0,TE
Mason Pline,Mason Pline (40059148),TE/FLEX,2500,NO@SEA 09/21/2025 04:05PM ET,NO,0,TE
Zach Wood,Zach Wood (40059150),TE/FLEX,2500,NO@SEA 09/21/2025 04:05PM ET,NO,0,TE
Treyton Welch,Treyton Welch (40059152),TE/FLEX,2500,NO@SEA 09/21/2025 04:05PM ET,NO,0,TE
Luke Schoonmaker,Luke Schoonmaker (40059120),TE/FLEX,2500,DAL@CHI 09/21/2025 04:25PM ET,DAL,0,TE
Brevyn Spann-Ford,Brevyn Spann-Ford (40059122),TE/FLEX,2500,DAL@CHI 09/21/2025 04:25PM ET,DAL,0.65,TE
John Stephens Jr.,John Stephens Jr. (40059124),TE/FLEX,2500,DAL@CHI 09/21/2025 04:25PM ET,DAL,0,TE
Rivaldo Fairweather,Rivaldo Fairweather (40059126),TE/FLEX,2500,DAL@CHI 09/21/2025 04:25PM ET,DAL,0,TE
Princeton Fant,Princeton Fant (40059128),TE/FLEX,2500,DAL@CHI 09/21/2025 04:25PM ET,DAL,0,TE
Durham Smythe,Durham Smythe (40059130),TE/FLEX,2500,DAL@CHI 09/21/2025 04:25PM ET,CHI,0,TE
Stephen Carlson,Stephen Carlson (40059132),TE/FLEX,2500,DAL@CHI 09/21/2025 04:25PM ET,CHI,0,TE
Nikola Kalinic,Nikola Kalinic (40059134),TE/FLEX,2500,DAL@CHI 09/21/2025 04:25PM ET,CHI,0,TE
George Kittle,George Kittle (40059106),TE/FLEX,2500,ARI@SF 09/21/2025 04:25PM ET,SF,12.5,TE
Brayden Willis,Brayden Willis (40059108),TE/FLEX,2500,ARI@SF 09/21/2025 04:25PM ET,SF,0,TE
Messiah Swinson,Messiah Swinson (40059110),TE/FLEX,2500,ARI@SF 09/21/2025 04:25PM ET,SF,0,TE
Tip Reiman,Tip Reiman (40059112),TE/FLEX,2500,ARI@SF 09/21/2025 04:25PM ET,ARI,2,TE
Elijah Higgins,Elijah Higgins (40059114),TE/FLEX,2500,ARI@SF 09/21/2025 04:25PM ET,ARI,3.9,TE
Travis Vokolek,Travis Vokolek (40059116),TE/FLEX,2500,ARI@SF 09/21/2025 04:25PM ET,ARI,0,TE
Josiah Deguara,Josiah Deguara (40059118),TE/FLEX,2500,ARI@SF 09/21/2025 04:25PM ET,ARI,0,TE
Bengals ,Bengals  (40059327),DST,2400,CIN@MIN 09/21/2025 01:00PM ET,CIN,6,DST
Rams ,Rams  (40059326),DST,2400,LAR@PHI 09/21/2025 01:00PM ET,LAR,9.5,DST
Raiders ,Raiders  (40059328),DST,2300,LV@WAS 09/21/2025 01:00PM ET,LV,7.5,DST
Saints ,Saints  (40059329),DST,2300,NO@SEA 09/21/2025 04:05PM ET,NO,6.5,DST
Browns ,Browns  (40059331),DST,2200,GB@CLE 09/21/2025 01:00PM ET,CLE,1.5,DST
Jets ,Jets  (40059330),DST,2200,NYJ@TB 09/21/2025 01:00PM ET,NYJ,1.5,DST
