RK,NAME,TEAM,POS,GMS,YDS,TD,INT,YDS,TD,REC,YDS,TD,FPTS/G,FPTS,,Fantasy Points,,,,Top Fantasy Leaders
79,Tua Tagovailoa,MIA,QB,11,2867,19,7,49,0,0,0,0,18.4,202.6,,,Tua Tagovailoa,,,
80,DK Metcalf,SEA,WR,15,0,0,0,0,0,66,992,5,13.5,202.2,,,DK Metcalf,,,
81,Travis Kelce,KC,TE,16,0,0,0,1,0,97,823,3,12.5,199.4,,,Travis Kelce,,,
82,Darnell Mooney,ATL,WR,16,0,0,0,0,0,64,992,5,12.4,199.2,,,Darnell Mooney,,,
83,J.K. Dobbins,LAC,RB,13,0,0,0,905,9,32,153,0,15.2,197.8,,,J.K. Dobbins,,,
84,Tyrone Tracy Jr.,NYG,RB,17,0,0,0,839,5,38,284,1,11.4,193.3,,,Tyrone Tracy Jr.,,,
85,Drake Maye,NE,QB,13,2276,15,10,421,2,0,0,0,14.9,193.1,,,Drake Maye,,,
86,Brandon Aubrey,DAL,K,17,0,0,0,0,0,0,0,0,11.3,192,,,Brandon Aubrey,,,
87,Chris Boswell,PIT,K,17,0,0,0,0,0,0,0,0,11.2,191,,,Chris Boswell,,,
88,Zach Charbonnet,SEA,RB,17,0,0,0,569,8,42,340,1,11.2,189.9,,,Zach Charbonnet,,,
89,Mark Andrews,BAL,TE,17,0,0,0,5,0,55,673,11,11.1,188.8,,,Mark Andrews,,,
90,Khalil Shakir,BUF,WR,15,0,0,0,4,0,76,821,4,12.6,188.5,,,Khalil Shakir,,,
91,Keenan Allen,CHI,WR,15,0,0,1,0,0,70,744,7,12.6,188.4,,,Keenan Allen,,,
92,Xavier Worthy,KC,WR,17,0,0,0,104,3,59,638,6,11,187.2,,,Xavier Worthy,,,
93,Josh Downs,IND,WR,14,0,0,0,12,0,72,803,5,13.3,186.5,,,Josh Downs,,,
94,Russell Wilson,PIT,QB,11,2482,16,5,155,2,0,0,0,16.8,184.8,,,Russell Wilson,,,
95,Kenneth Walker III,SEA,RB,11,0,0,0,573,7,46,299,1,16.7,184.2,,,Kenneth Walker III,,,
96,Cooper Kupp,LAR,WR,12,0,0,0,10,0,67,710,6,15.3,184,,,Cooper Kupp,,,
97,Wan'Dale Robinson,NYG,WR,17,0,0,0,18,0,93,699,3,10.7,182.7,,,Wan'Dale Robinson,,,
98,Rhamondre Stevenson,NE,RB,15,0,0,0,801,7,33,168,1,12.1,181.9,,,Rhamondre Stevenson,,,
99,Quentin Johnston,LAC,WR,15,0,0,0,6,0,55,711,8,12,180.7,,,Quentin Johnston,,,
100,Cameron Dicker,LAC,K,17,0,0,0,0,0,0,0,0,10.5,179,,,Cameron Dicker,,,
