#,Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR,K%,BB%,K-BB%,AVG,WHIP,LOB%,ERA-,FIP-,xFIP-,E-F,xFIP,SIERA,Barrels,Barrel%,H,HR,EV,HBP
39,Landen Roupp,SFG,5,6,0,12,12,64,10.13,3.8,0.42,0.323,0.636,0.494,0.063,92.7,4.22,3.3,2.83,3.3,1.5,0.266,0.1,0.166,0.236,1.31,0.636,105,71,80,1.39,3.3,3.63,5,0.029,57,3,90.7,4
40,Logan Gilbert,SEA,4,4,0,12,12,68.1,9.22,2.24,1.58,0.27,0.823,0.362,0.152,95.7,3.69,4.28,4.27,3.64,0.7,0.253,0.061,0.191,0.23,1.11,0.823,95,107,87,-0.58,3.64,3.51,20,0.108,59,12,89.6,1
41,MacKenzie Gore,TEX,3,5,0,12,12,60.2,9.35,4.01,0.89,0.287,0.716,0.361,0.085,95.5,4.3,4.21,3.7,4.1,1.1,0.241,0.103,0.138,0.227,1.32,0.716,105,88,98,0.6,4.1,4.12,15,0.088,53,6,91.9,0
42,Max Meyer,MIA,6,0,0,12,12,68.2,9.96,3.28,0.66,0.238,0.776,0.421,0.077,95.2,2.62,3.53,3.11,3.52,1.7,0.273,0.09,0.183,0.181,1.02,0.776,63,75,85,-0.49,3.52,3.55,14,0.081,45,5,90.5,4
43,Michael King,SDP,4,5,0,12,12,69,8.22,3.26,1.04,0.256,0.763,0.475,0.116,94,3.65,4.26,4.05,3.98,1,0.228,0.091,0.138,0.215,1.13,0.763,92,99,97,-0.4,3.98,4.03,19,0.103,53,8,90.6,2
44,Michael McGreevy,STL,3,5,0,11,11,60.1,5.82,2.24,1.19,0.268,0.819,0.47,0.138,91.7,3.28,5.73,4.29,3.94,0.5,0.162,0.062,0.1,0.248,1.18,0.819,82,106,96,-1,3.94,4.35,18,0.096,56,8,87.9,4
45,Michael Soroka,ARI,7,3,0,12,12,67,8.87,2.01,0.67,0.316,0.753,0.389,0.072,93.7,3.49,4.09,2.96,3.47,1.6,0.236,0.054,0.182,0.249,1.19,0.753,84,74,84,0.53,3.47,3.56,16,0.082,65,5,89.3,0
46,Michael Wacha,KCR,4,4,0,12,12,75,7.2,3,1.08,0.257,0.74,0.358,0.099,93,3.72,4.46,4.19,4.37,1,0.195,0.081,0.114,0.226,1.17,0.74,87,101,105,-0.47,4.37,4.42,16,0.073,63,9,87.5,4
47,Mike Burrows,HOU,3,6,0,11,11,62.2,7.32,3.45,1.87,0.311,0.736,0.385,0.163,95,5.46,4.57,5.47,4.61,-0.1,0.186,0.088,0.099,0.283,1.5,0.736,132,132,111,-0.01,4.61,4.58,18,0.092,70,13,88.8,3
48,Mitch Keller,PIT,5,3,0,12,12,67,6.99,3.09,0.67,0.295,0.619,0.394,0.074,93.6,5.24,4.8,3.74,4.22,1.2,0.183,0.081,0.102,0.249,1.3,0.619,125,91,102,1.5,4.22,4.46,14,0.068,64,5,88.5,3
49,Nathan Eovaldi,TEX,5,5,0,11,11,70,8.61,2.19,1.54,0.268,0.795,0.507,0.194,94.5,3.73,4.39,4.41,3.45,0.7,0.229,0.058,0.171,0.234,1.14,0.795,91,105,83,-0.68,3.45,3.49,17,0.084,63,12,88.1,4
50,Nick Martinez,TBR,5,2,0,12,12,70.2,5.35,1.66,0.76,0.285,0.876,0.372,0.065,93,2.29,4.51,3.66,4.43,1.4,0.144,0.045,0.1,0.257,1.19,0.876,55,86,106,-1.37,4.43,4.63,16,0.068,71,6,88.5,6
51,Nolan McLean,NYM,3,4,0,11,11,61.1,10.13,3.23,1.03,0.262,0.629,0.462,0.135,96.3,4.26,3.4,3.76,3.5,1,0.272,0.087,0.185,0.204,1.11,0.629,107,92,85,0.49,3.5,3.48,11,0.071,46,7,86.3,2
52,Parker Messick,CLE,6,2,0,13,13,75,9.36,2.64,0.96,0.269,0.86,0.411,0.108,93.7,2.4,3.38,3.34,3.37,1.7,0.264,0.075,0.19,0.213,1.07,0.86,58,81,81,-0.94,3.37,3.48,12,0.062,58,8,86.7,7
53,Paul Skenes,PIT,6,4,0,12,12,69.1,10.51,1.43,0.78,0.244,0.722,0.441,0.09,97.3,2.47,2.2,2.5,2.77,2.3,0.301,0.041,0.26,0.184,0.84,0.722,59,61,67,-0.04,2.77,2.72,7,0.04,47,6,87.7,1
54,Randy V�squez,SDP,4,3,0,11,11,59.1,6.37,2.28,1.37,0.288,0.826,0.342,0.105,94.9,3.64,6.66,4.58,4.69,0.4,0.171,0.061,0.11,0.263,1.26,0.826,92,112,114,-0.94,4.69,4.59,25,0.134,60,9,87.3,3
55,Reid Detmers,LAA,2,5,0,12,12,69.1,10.25,3.12,0.78,0.273,0.634,0.361,0.072,94.4,4.15,3.02,3.12,3.72,1.9,0.274,0.083,0.191,0.207,1.13,0.634,99,74,89,1.03,3.72,3.53,13,0.071,54,6,91.2,3
56,Robbie Ray,SFG,4,5,0,12,12,62.1,8.52,5.2,1.73,0.259,0.779,0.306,0.143,93.4,4.19,5.23,5.45,4.88,-0.3,0.219,0.134,0.086,0.232,1.44,0.779,104,137,118,-1.26,4.88,4.91,19,0.109,54,12,89,3
57,Ryan Weathers,NYY,2,4,0,12,12,70,10.16,2.57,1.67,0.277,0.78,0.427,0.178,95.9,3.86,4.17,4.12,3.21,1,0.277,0.07,0.207,0.23,1.16,0.78,94,97,77,-0.27,3.21,3.28,22,0.118,61,13,88.7,0
58,Ryne Nelson,ARI,2,4,0,12,12,67.2,6.78,2.39,1.73,0.244,0.658,0.315,0.118,96.3,4.39,4.61,4.99,4.82,0.1,0.179,0.063,0.116,0.234,1.18,0.658,106,125,117,-0.6,4.82,4.64,21,0.098,62,13,89.9,0
59,Sandy Alcantara,MIA,3,4,0,12,12,75.1,6.21,2.27,1.19,0.303,0.674,0.437,0.111,97.6,5.02,4.17,4.41,4.4,0.8,0.16,0.059,0.102,0.273,1.34,0.674,120,107,107,0.61,4.4,4.47,18,0.073,82,10,90.5,2
60,Sean Burke,CHW,2,2,0,11,9,61.1,8.07,2.49,0.73,0.262,0.734,0.335,0.067,94.5,3.52,3.67,3.45,4.15,1.4,0.22,0.068,0.152,0.215,1.08,0.734,84,81,100,0.07,4.15,3.92,10,0.058,49,5,88.3,5
61,Seth Lugo,KCR,1,4,0,12,12,69.2,7.88,3.1,0.9,0.328,0.706,0.367,0.082,91.9,4.26,5.03,3.74,4.19,1.2,0.205,0.081,0.125,0.272,1.41,0.706,99,90,101,0.52,4.19,4.27,22,0.104,74,7,88.7,5
62,Shane Baz,BAL,3,5,0,11,11,66,8.05,3.95,0.95,0.293,0.742,0.359,0.091,96.4,4.09,4.27,4.06,4.36,0.9,0.208,0.102,0.106,0.244,1.38,0.742,100,98,105,0.03,4.36,4.5,16,0.082,62,7,90,1
63,Shohei Ohtani,LAD,6,2,0,10,10,61,9.89,2.66,0.3,0.197,0.915,0.517,0.04,97.9,0.74,2.36,2.42,3.17,2.2,0.288,0.077,0.21,0.142,0.79,0.915,18,57,77,-1.68,3.17,3.17,5,0.035,30,2,90.4,1
64,Shota Imanaga,CHC,4,5,0,12,12,71,8.49,2.15,2.03,0.224,0.733,0.391,0.178,91.9,4.56,3.75,5,3.89,0.3,0.234,0.059,0.175,0.214,1.04,0.733,113,123,94,-0.43,3.89,3.7,22,0.111,57,16,89.4,3
65,Slade Cecconi,CLE,3,4,0,12,12,63.1,6.96,2.56,1.14,0.321,0.72,0.452,0.11,93.5,4.41,4.25,4.1,4.12,0.8,0.182,0.067,0.115,0.28,1.39,0.72,107,100,99,0.3,4.12,4.28,15,0.075,70,8,87.9,1
66,Tanner Bibee,CLE,0,7,0,12,12,64,7.45,2.81,1.41,0.29,0.746,0.379,0.125,94.2,4.5,4.4,4.47,4.23,0.6,0.196,0.074,0.122,0.257,1.31,0.746,109,109,102,0.03,4.23,4.29,19,0.097,64,10,90.2,1
67,Tomoyuki Sugano,COL,5,4,0,12,12,63.1,5.12,2.56,1.56,0.258,0.811,0.383,0.124,92.3,3.98,7.51,5.18,4.94,0.2,0.136,0.068,0.068,0.253,1.26,0.811,85,119,120,-1.2,4.94,5.02,34,0.163,62,11,89.9,1
68,Will Warren,NYY,7,1,0,11,11,60,10.05,2.55,1.05,0.288,0.67,0.386,0.097,93.7,3.3,3.29,3.29,3.5,1.3,0.266,0.067,0.198,0.226,1.17,0.67,80,78,84,0.01,3.5,3.41,12,0.072,53,7,88.4,3
69,Yoshinobu Yamamoto,LAD,4,4,0,10,10,63.1,8.95,2.13,1.14,0.256,0.824,0.482,0.143,95.9,2.84,3.75,3.62,3.24,1.3,0.253,0.06,0.193,0.212,1.01,0.824,69,85,79,-0.77,3.24,3.34,13,0.077,49,8,90.1,2
70,Zac Gallen,ARI,3,4,0,12,12,60.1,6.12,2.69,1.49,0.321,0.684,0.483,0.135,93.5,5.07,5.15,4.9,4.51,0.1,0.154,0.067,0.086,0.296,1.51,0.684,122,123,109,0.17,4.51,4.58,19,0.092,73,10,89.02,3
