Player ID + Player Name,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Probable Pitcher,Batting Order,Roster Position
128430-199224:Mason Black,128430-199224,P,Mason,Mason Black,Black,18,1,5900,MIL@KC,KC,MIL,,,,,,P
128430-181832:Roddery Munoz,128430-181832,P,Roddery,Roddery Munoz,Munoz,7,2,5900,HOU@ATH,HOU,ATH,,,,,,P
128430-181833:Darius Vines,128430-181833,P,Darius,Darius Vines,Vines,,0,5900,ATL@ARI,ATL,ARI,,,,,,P
128430-82537:DL Hall,128430-82537,P,DL,DL Hall,Hall,10,3,5900,MIL@KC,MIL,KC,,,,,,P
128430-165665:Robert Gasser,128430-165665,P,Robert,Robert Gasser,Gasser,8.5,4,5900,MIL@KC,MIL,KC,,,,,,P
128430-202608:Carlos Rodriguez,128430-202608,P,Carlos,Carlos Rodriguez,Rodriguez,11.75,4,5900,MIL@KC,MIL,KC,,,,,,P
128430-114708:Randy Dobnak,128430-114708,P,Randy,Randy Dobnak,Dobnak,16,1,5800,SEA@LAA,SEA,LAA,,,,,,P
128430-79917:Casey Lawrence,128430-79917,P,Casey,Casey Lawrence,Lawrence,9.333333333,6,5800,SEA@LAA,SEA,LAA,,,,,,P
128430-232608:Mason Barnett,128430-232608,P,Mason,Mason Barnett,Barnett,15.2,5,5800,HOU@ATH,ATH,HOU,,,,,,P
128430-79103:Dane Dunning,128430-79103,P,Dane,Dane Dunning,Dunning,7,12,5800,SEA@LAA,SEA,LAA,,,,,,P
128430-198353:Mitch Spence,128430-198353,P,Mitch,Mitch Spence,Spence,10.1875,32,5800,MIL@KC,KC,MIL,,,,,,P
128430-138016:Brandon Waddell,128430-138016,P,Brandon,Brandon Waddell,Waddell,11.27272727,11,5800,NYM@SF,NYM,SF,IL,Shoulder,,,,P
128430-189299:Victor Mederos,128430-189299,P,Victor,Victor Mederos,Mederos,10.2,5,5800,SEA@LAA,LAA,SEA,,,,,,P
128430-135208:Shawn Dubin,128430-135208,P,Shawn,Shawn Dubin,Dubin,4.666666667,30,5700,ATL@ARI,ARI,ATL,,,,,,P
128430-102446:Tristan Beck,128430-102446,P,Tristan,Tristan Beck,Beck,6.838709677,31,5700,NYM@SF,SF,NYM,,,,,,P
128430-102456:Jhonathan Diaz,128430-102456,P,Jhonathan,Jhonathan Diaz,Diaz,7,1,5700,SEA@LAA,SEA,LAA,,,,,,P
128430-135245:Tommy Henry,128430-135245,P,Tommy,Tommy Henry,Henry,17.5,2,5700,ATL@ARI,ARI,ATL,O,Elbow,,,,P
128430-102572:Tobias Myers,128430-102572,P,Tobias,Tobias Myers,Myers,10,3,5700,NYM@SF,NYM,SF,,,,,,P
128430-102574:Jake Woodford,128430-102574,P,Jake,Jake Woodford,Woodford,12,2,5700,MIL@KC,MIL,KC,,,,,,P
128430-238919:Mitch Bratt,128430-238919,P,Mitch,Mitch Bratt,Bratt,,0,5700,ATL@ARI,ARI,ATL,,,,,,P
128430-238916:Kohl Drake,128430-238916,P,Kohl,Kohl Drake,Drake,,0,5700,ATL@ARI,ARI,ATL,,,,,,P
128430-239015:Walbert Urena,128430-239015,P,Walbert,Walbert Urena,Urena,5.5,2,5700,SEA@LAA,LAA,SEA,,,,,,P
128430-101804:Huascar Ynoa,128430-101804,P,Huascar,Huascar Ynoa,Ynoa,,0,5700,SEA@LAA,LAA,SEA,,,,,,P
128430-101838:JT Brubaker,128430-101838,P,JT,JT Brubaker,Brubaker,7.333333333,3,5700,NYM@SF,SF,NYM,,,,,,P
128430-161256:Cooper Criswell,128430-161256,P,Cooper,Cooper Criswell,Criswell,11,3,5700,SEA@LAA,SEA,LAA,,,,,,P
128430-219695:Luinder Avila,128430-219695,P,Luinder,Luinder Avila,Avila,6.923076923,13,5700,MIL@KC,KC,MIL,,,,Yes,,P
128430-181823:Keaton Winn,128430-181823,P,Keaton,Keaton Winn,Winn,9,3,5700,NYM@SF,SF,NYM,,,,,,P
