Player ID + Player Name,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
128402-240702:Brandon Holtz,128402-240702,G,Brandon,Brandon Holtz,Holtz,,0,7000,,,,,,,,,G
128402-240706:Fifa Laopakdee,128402-240706,G,Fifa,Fifa Laopakdee,Laopakdee,,0,7000,,,,,,,,,G
128402-240834:Mateo Pulcini,128402-240834,G,Mateo,Mateo Pulcini,Pulcini,,0,7000,,,,,,,,,G
128402-240705:Jackson Herrington,128402-240705,G,Jackson,Jackson Herrington,Herrington,,0,7000,,,,,,,,,G
128402-77907:Angel Cabrera,128402-77907,G,Angel,Angel Cabrera,Cabrera,1.600000024,1,7000,,,,,,,,,G
128402-78291:Zach Johnson,128402-78291,G,Zach,Zach Johnson,Johnson,71.05000305,2,7000,,,,,,,,,G
128402-77911:Brian Campbell,128402-77911,G,Brian,Brian Campbell,Campbell,29.51111179,9,7000,,,,,,,,,G
128402-78806:Vijay Singh,128402-78806,G,Vijay,Vijay Singh,Singh,66.09999847,1,7000,,,,,,,,,G
128402-228084:Ethan Fang,128402-228084,G,Ethan,Ethan Fang,Fang,19.45000076,2,7000,,,,,,,,,G
128402-78969:Mike Weir,128402-78969,G,Mike,Mike Weir,Weir,17.85000038,2,7000,,,,,,,,,G
