Player,SG Putting,SG Around Green,SG Approach,SG Off The Tee,SG Tee To Green,SG Total,Scrambling,Rounds
min woo lee,-0.49,1.69,0.56,0.1,2.35,1.87,1,3
min woo lee,-1.27,-0.41,-0.72,-1.38,-2.51,-3.78,0.8,4
ryo hisatsune,-3.43,-1.02,-0.95,0.12,-1.85,-5.28,0.4,1
ryo hisatsune,0.28,0.97,-1.9,1.01,0.08,0.37,0.6667,2
ryo hisatsune,0.67,0.1,1.23,-0.13,1.2,1.87,0.8,3
ryo hisatsune,0.41,-0.51,0.32,-0.01,-0.19,0.22,0.5,4
ricky castillo,-0.49,0.23,-3.29,1.27,-1.79,-2.28,0.75,1
ricky castillo,2.79,-0.15,-2.35,-0.92,-3.42,-0.63,0.7,2
ricky castillo,-1.42,-3.73,1.38,0.63,-1.72,-3.13,0.75,3
ricky castillo,-1.38,0.51,2.83,1.25,4.59,3.22,1,4
alex noren,-1.05,-1.63,0.54,-1.14,-2.23,-3.28,0.3333,1
alex noren,-1.19,-2.43,0.7,-0.72,-2.45,-3.63,0.7,2
alex noren,2.27,-0.08,0.47,0.21,0.6,2.87,0.5714,3
alex noren,-1.89,0.7,0.77,0.63,2.11,0.22,0.75,4
harry hall,0.12,0.27,-0.75,0.08,-0.4,-0.28,0.4286,1
harry hall,1.62,-0.98,2.54,-2.82,-1.26,0.37,0.6,2
harry hall,-1.36,-0.18,-0.34,-1.25,-1.77,-3.13,0.4286,3
harry hall,0.25,0.16,-2.65,1.46,-1.03,-0.78,0.7,4
denny mccarthy,-1.15,-0.05,-2.08,-1.01,-3.13,-4.28,0.75,1
denny mccarthy,0.65,0.26,-1.25,-0.29,-1.28,-0.63,0.75,2
denny mccarthy,-1.24,0,0.18,-0.08,0.1,-1.13,0.6667,3
denny mccarthy,-0.48,1.08,0.75,0.88,2.71,2.22,0.7143,4
sam stevens,-1.31,1.86,0.42,-1.25,1.03,-0.28,0.5556,1
sam stevens,-0.54,-0.32,0.8,0.43,0.9,0.37,0.5,2
sam stevens,0.42,0.48,0.73,-0.77,0.44,0.87,0.5,3
sam stevens,2.41,-3.48,-1.87,-1.84,-7.19,-4.78,0.6,4
max homa,-1.45,-0.2,0.76,0.6,1.17,-0.28,0.7143,1
max homa,-0.25,-0.04,-0.67,0.31,-0.39,-0.63,0.7143,2
max homa,0.22,-1.72,-3.53,-0.11,-5.35,-5.13,0.6,3
max homa,3.27,-0.86,-1.21,0.02,-2.05,1.22,0.7778,4
john keefer,-0.21,0.34,0.99,-0.4,0.93,0.72,0.8571,1
john keefer,-0.05,-0.4,-0.85,0.67,-0.59,-0.63,0.8333,2
john keefer,0.28,-1.18,1.29,-1.52,-1.41,-1.13,0.5,3
john keefer,0.73,-0.5,-4.8,0.78,-4.51,-3.78,0.5556,4
taylor pendrith,0.53,-0.7,-3.93,-0.18,-4.81,-4.28,0.7,1
taylor pendrith,-1.63,-2.11,-0.75,-1.15,-4.01,-5.63,0.7778,2
taylor pendrith,-0.99,1.09,-1.49,-1.75,-2.15,-3.13,0.4286,3
taylor pendrith,2.09,-1.05,5.36,0.82,5.13,7.22,0.5,4
tom hoge,0.17,0.7,-2.07,-0.08,-1.45,-1.28,0.6667,1
tom hoge,0.01,-0.73,-0.03,0.12,-0.65,-0.63,0.8,2
tom hoge,-2.26,0.24,1.7,-0.81,1.13,-1.13,0.625,3
tom hoge,-0.03,-1.89,0.14,-1.01,-2.75,-2.78,0.5,4
david lipsky,-2.29,-0.25,-0.01,0.27,0.01,-2.28,0.6667,1
david lipsky,0.28,0.13,-0.35,-1.69,-1.92,-1.63,0.3333,2
david lipsky,1.81,0.62,-1.88,0.32,-0.94,0.87,0.8889,3
david lipsky,-0.68,-0.51,-0.59,-1.01,-2.1,-2.78,0.6667,4
jhonattan vegas,-2.87,-1.64,-3.32,0.55,-4.41,-7.28,0.5556,1
jhonattan vegas,-0.21,0.29,1.47,-1.19,0.57,0.37,0.8333,2
jhonattan vegas,1.06,-2.15,1.05,-0.1,-1.2,-0.13,0.5,3
jhonattan vegas,1.56,-2.32,-0.92,0.9,-2.34,-0.78,0.6667,4
jake knapp,-0.18,-1.24,0.67,-0.53,-1.1,-1.28,0.375,1
jake knapp,-5.32,-0.61,0.51,-0.21,-0.31,-5.63,0.5,2
jake knapp,-3.45,0.6,1.73,0.98,3.32,-0.13,0.5,3
jake knapp,-1.59,0.13,1.52,-0.85,0.81,-0.78,0.3333,4
austin smotherman,-1.22,-1.2,-0.32,-1.53,-3.06,-4.28,0.556,1
austin smotherman,-0.63,-2.82,-0.43,0.24,-3.01,-3.63,0.5714,2
austin smotherman,-0.18,-0.64,-0.83,1.51,0.05,-0.13,0.6,3
austin smotherman,-0.63,0.27,1.46,-0.88,0.85,0.22,0.625,4
justin thomas,-2.81,-2.21,-1.62,0.35,-3.47,-6.28,0.3,1
justin thomas,-3.77,0.95,-3.55,0.73,-1.87,-5.63,0.5,2
justin thomas,1.18,-2.18,-1.38,1.25,-2.31,-1.13,0.4286,3
justin thomas,0.5,0.48,4.77,-1.52,3.72,4.22,1,4
brian campbell,1.45,0.69,0.67,-1.09,0.27,1.72,0.5,1
brian campbell,0.9,-0.18,-1.18,-2.18,-3.54,-2.63,0.6,2
brian campbell,-1.73,-0.47,-2.64,-0.29,-3.4,-5.13,0.6667,3
brian campbell,-1.02,0.86,-1.51,-1.11,-1.76,-2.78,0.6,4
marco penge,-0.22,-0.19,-2.13,-0.73,-3.06,-3.28,0.5556,1
marco penge,-2.58,-0.82,0.01,-0.25,-1.05,-3.63,0.5714,2
marco penge,1.26,0.32,0.16,-0.87,-0.4,0.87,0.75,3
marco penge,-1.38,-1.46,-0.86,0.93,-1.4,-2.78,0.7143,4
billy horschel,-0.06,-0.34,-1.48,0.6,-1.22,-1.28,0.8,1
billy horschel,-1.98,-2.4,-2.74,0.49,-4.65,-6.63,0.4,2
billy horschel,-1.01,-2.75,0.83,-0.2,-2.13,-3.13,0.4,3
billy horschel,-1.07,-0.47,1.72,0.04,1.29,0.22,0.5,4
nicolas echavarria,-0.52,0.71,-4.77,-0.7,-4.76,-5.28,0.4545,1
nicolas echavarria,0.25,0.83,-0.67,-1.05,-0.89,-0.63,0.7143,2
nicolas echavarria,0.41,0.39,0.83,-0.76,0.46,0.87,0.7778,3
nicolas echavarria,-2.65,-0.41,-2.55,-1.16,-4.13,-6.78,0.6667,4
tony finau,-0.07,1.04,-3.27,-2.98,-5.21,-5.28,0.6667,1
tony finau,-1.5,-0.87,-3.21,-0.06,-4.14,-5.63,0.5833,2
tony finau,-1.72,-0.95,-4.41,0.94,-4.42,-6.13,0.4286,3
tony finau,0.85,3.11,-1.9,-1.84,-0.63,0.22,0.6667,4
