Player,SG Putting,SG Around Green,SG Approach,SG Tee To Green,SG Total,Rounds,Scrambling
keith mitchell,1.7,-0.25,1.59,1.19,2.89,1,0.8571
keith mitchell,-1.8,-0.34,1.43,1.08,-0.71,2,0.0
keith mitchell,1.9,0.4,0.49,-1.07,0.84,3,1.0
keith mitchell,2.67,-0.6,-0.27,-3.98,-1.31,4,0.5714
sami valimaki,-0.98,0.55,1.02,1.86,0.89,1,0.8333
sami valimaki,1.95,-0.75,-2.27,0.34,2.29,2,0.25
sami valimaki,0.44,-1.58,0.05,-3.61,-3.16,3,0.625
sami valimaki,0.19,1.73,0.21,1.5,1.69,4,0.8
john keefer,-1.2,0.23,1.21,3.08,1.89,1,0.8333
john keefer,-0.88,-0.59,0.11,-0.83,-1.71,2,0.3333
john keefer,-0.74,-0.01,-0.26,1.58,0.84,3,0.0
john keefer,0.58,-2.53,2.08,0.11,0.69,4,0.0
rasmus neergaard-petersen,1.27,0.03,1.48,2.62,3.89,1,0.6667
rasmus neergaard-petersen,1.74,-0.42,0.57,-1.45,0.29,2,0.7143
rasmus neergaard-petersen,-1.41,-0.29,1.38,0.24,-1.16,3,0.5
rasmus neergaard-petersen,1.04,-0.78,-0.18,-2.35,-1.31,4,0.5
kristoffer reitan,0.15,0.01,1.65,0.73,0.89,1,0.4
kristoffer reitan,1.67,0.25,0.53,1.62,3.29,2,1.0
kristoffer reitan,-1.6,-1.76,0.85,-3.57,-5.16,3,0.3333
kristoffer reitan,-0.46,0.68,0.76,3.15,2.69,4,0.8
chad ramey,-0.33,-0.04,0.23,0.22,-0.11,1,0.25
chad ramey,3.04,0.49,1.01,0.24,3.29,2,0.75
chad ramey,1.56,-2.35,0.17,-3.72,-2.16,3,0.2
chad ramey,1.39,-0.34,0.05,-1.7,-0.32,4,0.4
max mcgreevy,-0.13,-0.13,2.06,4.02,3.89,1,0.6667
max mcgreevy,-3,2.15,0.8,1.29,-1.71,2,0.4
max mcgreevy,0.66,-0.74,-0.4,0.18,0.84,3,0.6667
max mcgreevy,-0.56,-0.81,-0.03,-1.75,-2.31,4,0.5
zachary bauchou,0.66,-1.07,0.14,2.23,2.89,1,0.6667
zachary bauchou,2.43,0.4,0.58,-0.15,2.29,2,12.0
zachary bauchou,-1.69,1.3,-1.51,-1.48,-3.16,3,0.6667
zachary bauchou,-0.54,-0.56,-3.02,-0.77,-1.31,4,0.6667
s.t. lee,1.99,-0.74,-0.92,-2.1,-0.11,1,0.6667
s.t. lee,-1.32,1.22,1.24,1.61,0.29,2,0.4286
s.t. lee,1.14,-0.08,-1.45,-2.3,-1.16,3,0.7143
s.t. lee,1.8,1.66,-1.15,-0.11,1.69,4,0.5556
michael brennan,1.46,-0.36,-0.27,-0.57,0.89,1,0.5714
michael brennan,-0.21,0.28,0.01,1.49,1.29,2,0.6
michael brennan,-0.03,-0.31,1.43,2.87,2.84,3,0.5714
michael brennan,-3.35,-1.31,0.89,-0.97,-4.32,4,0.4286
christo lamprecht,1.5,0.03,0.91,2.39,3.89,1,0.8333
christo lamprecht,-1.64,-0.24,1.41,-1.07,-2.71,2,0.25
christo lamprecht,2.89,0.03,-0.2,-2.06,0.84,3,0.75
christo lamprecht,2.54,-0.41,-0.86,-3.85,-1.31,4,0.625
collin morikawa,0.39,-1.5,0.38,-1.51,-1.11,1,0.4
collin morikawa,-0.95,-0.27,0.35,2.23,1.29,2,0.8
collin morikawa,-2.19,2.44,-0.11,1.02,-1.16,3,0.6
collin morikawa,-0.12,0.33,0.17,0.81,0.69,4,0.5
brian campbell,2.3,0.1,-1.42,0.58,2.89,1,0.8571
brian campbell,1.65,-1.76,-0.01,-0.36,1.29,2,0.5
brian campbell,1.03,-0.77,-1.26,-1.2,-0.16,3,0.45
brian campbell,-1.52,-0.77,-0.27,-2.79,-4.32,4,0.375
joe highsmith,-0.62,1.76,0.38,1.51,0.89,1,0.8571
joe highsmith,-0.76,-0.52,-0.18,1.04,0.29,2,0.5714
joe highsmith,-0.12,-0.88,0.84,-0.04,-0.16,3,0.25
joe highsmith,-0.5,-1.49,-0.06,-0.81,-1.31,4,0.5
s.h. kim,-0.91,0.42,0.3,1.8,0.89,1,0.3333
s.h. kim,-1.19,0.04,1.16,0.48,-0.71,2,0.6
s.h. kim,0.38,0.25,0.76,1.46,1.84,3,0.5
s.h. kim,0.37,-1.41,0.47,-2.69,-2.31,4,0.625
sudarshan yellamaraju,-2.46,-0.92,0.55,-0.66,-3.11,1,0.6
sudarshan yellamaraju,2.75,1.21,-0.01,3.54,6.29,2,1.0
sudarshan yellamaraju,-0.76,-0.12,1.72,0.6,-0.16,3,0.75
sudarshan yellamaraju,-0.16,-0.52,-3.79,-3.15,-3.31,4,0.2
kensei hirata,0.64,0.18,0.53,2.25,2.89,1,0.6667
kensei hirata,-2.43,-1.3,-0.23,-0.29,-2.71,2,0.5
kensei hirata,-0.66,1.06,0.54,0.49,-0.16,3,0.6
kensei hirata,-0.12,0.89,0.89,-0.19,-0.32,4,0.5
patrick rodgers,-0.32,0.93,-0.48,-0.79,-1.11,1,0.5
patrick rodgers,1.04,0.15,1.21,1.25,2.29,2,0.3333
patrick rodgers,-0.15,0.75,0.93,0.98,0.84,3,0.5
patrick rodgers,-1.49,-1.62,0.76,-1.83,-3.31,4,0.5
takumi kanaya,0.31,-1,1.42,-0.42,-0.11,1,0.5
takumi kanaya,2.44,-0.64,0.67,-0.15,2.29,2,0.7143
takumi kanaya,0.9,-2.48,0.35,-4.06,-3.16,3,0.5
takumi kanaya,0.21,1.06,0.92,-0.53,-0.32,4,0.5
adrien saddier,1.54,0.18,1.37,1.35,2.89,1,1.0
