Player,SG Putting,SG Around Green,SG Approach,SG Off The Tee,SG Tee To Green,SG Total,Rounds
zach johnson,-1.53,0.56,-0.12,0.74,1.18,-0.35,1
zach johnson,-0.11,-0.26,-1.55,-0.23,-2.05,-2.15,2
zach johnson,0,0,0,0,0,0,3
zach johnson,0,0,0,0,0,0,4
cameron smith,1.39,1.61,-0.8,-1.56,-0.75,0.65,1
cameron smith,-1.43,1.32,-2.31,-1.73,-2.72,-4.15,2
cameron smith,0,0,0,0,0,0,3
cameron smith,0,0,0,0,0,0,4
andrew novak,0.7,-1.66,0.74,-0.13,-1.05,-0.35,1
andrew novak,-1.98,-0.33,-1.34,0.49,-1.18,-3.15,2
andrew novak,0,0,0,0,0,0,3
andrew novak,0,0,0,0,0,0,4
robert macintyre,-1.71,-1.17,-4.59,2.12,-3.64,-5.35,1
robert macintyre,2.85,0.25,-2.79,1.54,-1,1.85,2
robert macintyre,0,0,0,0,0,0,3
robert macintyre,0,0,0,0,0,0,4
rasmus neergaard-petersen,-2.08,-0.57,-0.66,0.95,-0.27,-2.35,1
rasmus neergaard-petersen,-3.81,0.61,1.11,0.94,2.66,-1.15,2
rasmus neergaard-petersen,0,0,0,0,0,0,3
rasmus neergaard-petersen,0,0,0,0,0,0,4
tom mckibbin,-1.23,-0.69,-0.13,1.69,0.87,-0.35,1
tom mckibbin,-2.82,0.68,-1.75,0.74,-0.33,-3.15,2
tom mckibbin,0,0,0,0,0,0,3
tom mckibbin,0,0,0,0,0,0,4
michael kim,2.46,0.13,-1.75,-1.19,-2.82,-0.35,1
michael kim,-2.72,-2.87,2.72,-1.29,-1.43,-4.15,2
michael kim,0,0,0,0,0,0,3
michael kim,0,0,0,0,0,0,4
daniel berger,-0.84,0.38,-0.58,-0.31,-0.51,-1.35,1
daniel berger,-2.88,-0.08,-0.75,0.55,-0.28,-3.15,2
daniel berger,0,0,0,0,0,0,3
daniel berger,0,0,0,0,0,0,4
ethan fang,-2.28,1.43,1.27,0.23,2.93,0.65,1
ethan fang,-3.39,1.12,-1.27,-1.61,-1.77,-5.15,2
ethan fang,0,0,0,0,0,0,3
ethan fang,0,0,0,0,0,0,4
jackson herrington,-1.07,-0.5,1.51,-1.29,-0.28,-1.35,1
jackson herrington,0.38,-3.33,0.1,-0.3,-3.54,-3.15,2
jackson herrington,0,0,0,0,0,0,3
jackson herrington,0,0,0,0,0,0,4
casey jarvis,0.41,-3.85,0.66,0.43,-2.76,-2.35,1
casey jarvis,-2.76,1.28,-1.46,0.78,0.61,-2.15,2
casey jarvis,0,0,0,0,0,0,3
casey jarvis,0,0,0,0,0,0,4
mason howell,-1.55,-2.78,0.61,1.37,-0.8,-2.35,1
mason howell,-2.88,-1.07,0.33,0.47,-0.28,-3.15,2
mason howell,0,0,0,0,0,0,3
mason howell,0,0,0,0,0,0,4
fred couples,3.26,-0.18,-3.71,-2.72,-6.61,-3.35,1
fred couples,2.51,1.05,-4.91,-0.79,-4.66,-2.15,2
fred couples,0,0,0,0,0,0,3
fred couples,0,0,0,0,0,0,4
jose olazabal,0.81,5.02,-3.58,-1.59,-0.16,0.65,1
jose olazabal,0.38,0.51,-3.06,-3.99,-6.53,-6.15,2
jose olazabal,0,0,0,0,0,0,3
jose olazabal,0,0,0,0,0,0,4
vijay singh,-2.39,0.02,-0.99,-1,-1.96,-4.35,1
vijay singh,-1.98,0.88,-0.13,-0.94,-0.18,-2.15,2
vijay singh,0,0,0,0,0,0,3
vijay singh,0,0,0,0,0,0,4
mike weir,-3.99,-1.39,0.71,-1.67,-2.36,-6.35,1
mike weir,1.25,1.42,-1.48,-1.34,-1.41,-0.15,2
mike weir,0,0,0,0,0,0,3
mike weir,0,0,0,0,0,0,4
min woo lee,-0.74,-1.06,-0.86,-0.69,-2.61,-3.35,1
min woo lee,-0.95,0.25,-3.78,0.33,-3.21,-4.15,2
min woo lee,0,0,0,0,0,0,3
min woo lee,0,0,0,0,0,0,4
carlos ortiz,-0.51,-0.8,-0.96,-3.08,-4.84,-5.35,1
carlos ortiz,-1.42,-1.17,-0.35,0.79,-0.74,-2.15,2
carlos ortiz,0,0,0,0,0,0,3
carlos ortiz,0,0,0,0,0,0,4
sami valimaki,-2.8,-1.63,-1.71,0.79,-2.56,-5.35,1
sami valimaki,-1.08,0.5,-1,-0.57,-1.07,-2.15,2
sami valimaki,0,0,0,0,0,0,3
sami valimaki,0,0,0,0,0,0,4
john keefer,-0.52,-0.74,-0.77,0.68,-0.83,-1.35,1
john keefer,-2.14,-0.56,-2.11,-1.34,-4.01,-6.15,2
john keefer,0,0,0,0,0,0,3
john keefer,0,0,0,0,0,0,4
fifa laopakdee,-0.41,-1.63,-0.84,-2.47,-4.94,-5.35,1
fifa laopakdee,0.77,0.45,-1.77,-1.61,-2.92,-2.15,2
fifa laopakdee,0,0,0,0,0,0,3
fifa laopakdee,0,0,0,0,0,0,4
max greyserman,-1.97,-1.36,-2.03,1.01,-2.38,-4.35,1
max greyserman,-1.61,-1.11,0.04,-1.47,-2.55,-4.15,2
max greyserman,0,0,0,0,0,0,3
max greyserman,0,0,0,0,0,0,4
nicolas echavarria,-1.18,-0.85,-3.03,0.71,-3.17,-4.35,1
nicolas echavarria,0.46,0.38,-3.91,-2.08,-5.61,-5.15,2
nicolas echavarria,0,0,0,0,0,0,3
nicolas echavarria,0,0,0,0,0,0,4
aldrich potgieter,-2.6,-1.05,-2.79,-2.91,-6.75,-9.35,1
aldrich potgieter,-0.89,-0.24,1.2,-2.22,-1.26,-2.15,2
aldrich potgieter,0,0,0,0,0,0,3
aldrich potgieter,0,0,0,0,0,0,4
mateo pulcini,-4.44,-0.85,-0.58,-0.48,-1.91,-6.35,1
mateo pulcini,-0.07,-2.43,-0.85,-1.81,-5.08,-5.15,2
mateo pulcini,0,0,0,0,0,0,3
mateo pulcini,0,0,0,0,0,0,4
naoyuki kataoka,-1.87,-1.29,-3.44,-2.75,-7.49,-9.35,1
naoyuki kataoka,2.13,-2.28,-2.58,0.57,-4.28,-2.15,2
naoyuki kataoka,0,0,0,0,0,0,3
naoyuki kataoka,0,0,0,0,0,0,4
brandon holtz,-2.65,-1.93,-0.63,-1.14,-3.7,-6.35,1
brandon holtz,-0.85,-2.04,-1.91,-0.35,-4.3,-5.15,2
brandon holtz,0,0,0,0,0,0,3
brandon holtz,0,0,0,0,0,0,4
angel cabrera,-1.24,-0.56,-1.37,-1.19,-3.12,-4.35,1
angel cabrera,-1.53,0.54,-2.65,-4.51,-6.63,-8.15,2
angel cabrera,0,0,0,0,0,0,3
angel cabrera,0,0,0,0,0,0,4
davis riley,-0.64,1.35,-1.73,-6.33,-6.71,-7.35,1
davis riley,-2.17,-0.18,-2.65,-2.15,-4.98,-7.15,2
davis riley,0,0,0,0,0,0,3
davis riley,0,0,0,0,0,0,4
