Player,SG Putting,SG Around Green,SG Approach,SG Off The Tee,SG Tee To Green,SG Total,Rounds,Scrambling
ryan fox,1.54,3.1,-1.1,1.55,3.56,5.1,2,1.0
ryan fox,-1.13,-0.75,1.69,1.13,2.07,0.94,3,0.6667
ryan fox,2.88,-0.65,-2.17,0.73,-2.09,0.79,4,0.5
alex noren,1.99,0.73,-0.89,-0.11,-0.26,1.73,1,0.5714
alex noren,-1.77,0.43,1.02,-0.58,0.87,-0.9,2,0.6
alex noren,1.77,0.23,1.46,0.48,2.16,3.94,3,0.6667
alex noren,-0.54,-0.19,-1.09,0.6,-0.68,-1.21,4,0.5
maverick mcnealy,-0.73,1.19,0.44,0.35,1.98,1.25,1,1.0
maverick mcnealy,-1.12,-0.64,-0.07,-0.64,-1.35,-2.48,2,0.2857
maverick mcnealy,2.98,0.5,3.22,0.24,3.96,6.94,3,0.8333
maverick mcnealy,-2.92,-0.15,-1.16,1.02,-0.29,-3.21,4,0.4
jordan spieth,2.49,0.51,0.66,0.07,1.24,3.73,1,1.0
jordan spieth,2.79,-0.41,-1.93,0.66,-1.69,1.1,2,0.8333
jordan spieth,1.74,0.38,-0.27,-0.91,-0.8,0.94,3,0.4
jordan spieth,-1.19,0.27,0.08,-1.36,-1.02,-2.21,4,0.3333
keegan bradley,1.37,3.14,1.63,0.59,5.36,6.72,1,1.0
keegan bradley,-0.05,-0.54,-0.59,-0.72,-1.85,-1.9,2,0.2
keegan bradley,0.31,0.65,-2.69,0.66,-1.37,-1.06,3,0.5
keegan bradley,0.87,1.29,-2.36,-0.01,-1.08,-0.21,4,0.5
max mcgreevy,-0.39,-0.18,-0.89,0.71,-0.36,-0.75,1,0.5
max mcgreevy,1.37,0.21,-0.39,0.33,0.15,1.52,2,0.8571
max mcgreevy,0.73,0.21,0.71,0.29,1.21,1.94,3,0.5
max mcgreevy,-2.77,1.51,0.69,0.36,2.56,-0.21,4,0.5
taylor pendrith,0.23,0.32,-0.84,-0.98,-1.5,-1.27,1,0.8571
taylor pendrith,-0.3,0.15,-0.88,1.13,0.4,0.1,2,0.6
taylor pendrith,1.31,-0.3,-0.53,0.46,-0.37,0.94,3,0.6
taylor pendrith,1.69,0.36,1.05,-0.32,1.1,2.79,4,0.7143
mackenzie hughes,1.14,1.45,1.16,-0.03,2.58,3.73,1,1.0
mackenzie hughes,-0.1,-0.98,-0.42,-0.4,-1.8,-1.9,2,0.7143
mackenzie hughes,-1.16,-0.4,-0.28,0.78,0.1,-1.06,3,0.6667
mackenzie hughes,-0.55,0.25,1.61,0.47,2.33,1.79,4,0.25
sami valimaki,2.16,0.32,0.45,-0.2,0.56,2.73,1,0.6667
sami valimaki,-2.8,1.34,0.06,-0.49,0.9,-1.9,2,0.4286
sami valimaki,1.11,1.5,-0.22,-1.45,-0.17,0.94,3,0.8
sami valimaki,0.57,0.04,0.44,-0.26,0.22,0.79,4,0.5
justin rose,1.29,-0.99,2.51,-2.08,-0.56,0.72,1,0.1667
justin rose,2.75,-1.25,-1.65,-0.75,-3.65,-0.9,2,0.7143
justin rose,1.18,0.53,-0.86,1.09,0.76,1.94,3,0.75
justin rose,-1.07,-0.27,1.06,0.07,0.86,-0.21,4,0.6
ludvig aberg,-1.84,-0.03,-4.21,0.81,-3.44,-5.28,1,0.4
ludvig aberg,-0.36,-0.18,0.93,-0.3,0.46,0.1,2,0.6
ludvig aberg,1.33,1.1,3.57,-2.06,2.61,3.94,3,0.3333
ludvig aberg,1.95,-0.08,-0.11,1.03,0.83,2.79,4,0.6
ben griffin,-0.33,0.29,-1.42,-0.29,-1.42,-1.75,1,0.5
ben griffin,1.31,0.89,-0.6,-0.08,0.22,1.52,2,0.8
ben griffin,2.13,0.54,1.35,0.91,2.8,4.94,3,1.0
ben griffin,-1.67,-0.72,0.57,-2.39,-2.54,-4.21,4,0.4286
bud cauley,1.7,0.93,-1.98,-0.4,-1.45,0.25,1,0.75
bud cauley,-0.58,-0.86,4.25,-0.28,3.11,2.52,2,0.7143
bud cauley,-0.6,-0.15,-1.21,-0.11,-1.47,-2.06,3,0.4
bud cauley,-1.84,-0.27,2.13,-0.24,1.62,-0.21,4,0.0
j.t. poston,1.65,-0.13,-0.36,0.1,-0.4,1.25,1,0.75
j.t. poston,-1.02,0.28,-1.87,1.13,-0.46,-1.48,2,0.6
j.t. poston,0.99,1.41,0.15,-0.61,0.95,1.94,3,0.6667
j.t. poston,-1.59,1.15,-0.76,-0.01,0.37,-1.21,4,0.5
max greyserman,1.1,1.76,-1.91,-0.71,-0.85,0.25,1,0.8571
max greyserman,-0.47,2.2,-0.61,0.4,1.99,1.52,2,1.0
