Player,SG Putting,SG Around Green,SG Approach,SG Off The Tee,SG Tee To Green,SG Total,Rounds,Scrambling
mason howell,0,0,0,0,0,0,4,0
christo lamprecht,-2.14,-0.63,-3.81,-0.62,-5.06,-7.2,1,0
christo lamprecht,0.09,-2.15,0.07,-0.64,-2.72,-2.64,2,0
christo lamprecht,0,0,0,0,0,0,3,0
christo lamprecht,0,0,0,0,0,0,4,0
jeremy paul,0.85,0.11,-2.9,-0.26,-3.05,-2.2,1,0
jeremy paul,-0.36,-1.88,-5.29,-0.11,-7.28,-7.64,2,0
jeremy paul,0,0,0,0,0,0,3,0
jeremy paul,0,0,0,0,0,0,4,0
danny walker,-2.64,-4.07,-2.97,-1.52,-8.56,-11.2,1,0
danny walker,-1.59,-0.14,-1.68,0.78,-1.04,-2.64,2,0
danny walker,0,0,0,0,0,0,3,0
danny walker,0,0,0,0,0,0,4,0
darin fisher,-5.59,-1.07,-1.56,0.02,-2.61,-8.2,1,0
darin fisher,-4.36,-1.68,-1.97,-0.63,-4.28,-8.64,2,0
darin fisher,0,0,0,0,0,0,3,0
darin fisher,0,0,0,0,0,0,4,0
seamus power,-0.98,-0.61,-1.71,-3.89,-6.22,-7.2,1,0
seamus power,0,0,0,0,0,0,2,0
seamus power,0,0,0,0,0,0,3,0
seamus power,0,0,0,0,0,0,4,0
