Player,SG Putting,SG Around Green,SG Approach,SG Tee To Green,SG Total,Rounds,Scrambling
kevin yu,-3.01,1.54,-0.62,1.77,-1.24,1,0.7143
kevin yu,2.65,1.65,-1.03,1.05,3.69,2,0.7143
kevin yu,1.59,0.93,0.37,1.46,3.05,3,0.5714
kevin yu,-0.11,-1.57,0.09,-2.19,-2.3,4,0.5
michael kim,-0.62,0.96,0.7,-1.62,-2.24,1,0.8
michael kim,2.58,0.82,0.31,0.12,2.69,2,0.75
michael kim,0.41,0.57,0.07,0.65,1.05,3,0.625
michael kim,0.71,0.8,-1.11,0.99,1.7,4,0.75
seamus power,0.02,1.5,0.18,-0.26,-0.24,1,0.6
seamus power,1.08,2.82,-0.45,2.62,3.69,2,1.0
seamus power,1.04,-0.17,0.8,0.02,1.05,3,0.7143
seamus power,-1.56,-0.44,-0.07,0.26,-1.3,4,0.75
christiaan bezuidenhout,0.61,0.01,-0.7,1.15,1.76,1,0.7143
christiaan bezuidenhout,0.09,-0.46,-0.58,-1.4,-1.31,2,0.5
christiaan bezuidenhout,1.25,0.24,1.02,-0.2,1.05,3,0.6364
christiaan bezuidenhout,-0.16,1.82,-0.79,1.86,1.7,4,0.6667
andrew putnam,4.37,1.35,-0.3,0.39,4.76,1,0.7
andrew putnam,0.86,-0.49,0.08,-2.16,-1.31,2,0.6667
andrew putnam,-1.74,0.56,0.21,0.79,-0.95,3,1.0
andrew putnam,-0.44,-0.15,0.36,1.14,0.7,4,0.8
ryo hisatsune,1.55,-0.18,0.94,-0.79,0.76,1,0.6
ryo hisatsune,0.61,0.23,0.15,0.08,0.69,2,0.8333
ryo hisatsune,0.43,0.67,1.1,1.63,2.05,3,0.7143
ryo hisatsune,-2.54,0.26,0.71,2.25,-0.3,4,0.5
david skinns,1.32,3.45,0.2,1.45,2.76,1,0.8182
david skinns,0.9,-0.53,-0.12,0.79,1.69,2,0.6667
david skinns,1.6,-1.25,0.05,-1.55,0.05,3,0.5
david skinns,1.15,-0.48,0.2,-2.45,-1.3,4,0.6667
alejandro tosti,0.59,0.77,0.97,0.17,0.76,1,1.0
alejandro tosti,2.56,-1.43,1.9,1.14,3.69,2,0.75
alejandro tosti,-1.66,-0.46,0.91,-1.29,-2.95,3,0.5
alejandro tosti,-1.65,0.45,0.39,3.35,1.7,4,0.75
